min_clean_days,min_gain_qty,scope,folds,wins,mean_gate_sku_day_wape_delta,mean_full_adjusted_sku_day_wape_delta,mean_eligible_pairs,mean_underforecast_qty_delta,mean_overforecast_qty_delta
3,10.0,adjusted_pairs_clean_sku_days,3,1,-0.00017319778801339059,0.0036075869839867027,1.6666666666666667,-0.5458960076181635,-8.628841673128287
3,10.0,all_holdout,3,1,-1.0670037983643669e-05,-0.0016380715562360388,1.6666666666666667,-0.9240163037587384,-0.9240163037514625
3,10.0,clean_sku_days,3,1,-1.8005876543510563e-05,-0.0021169985956227175,1.6666666666666667,-0.9073042741171472,-2.1088937878012075
3,10.0,eligible_pairs_clean_sku_days,3,0,0.002004445908921876,0.012305833251217091,1.6666666666666667,-0.2826459576558615,3.4173143344372554
5,0.0,adjusted_pairs_clean_sku_days,3,2,-0.00016208708081888457,0.0036075869839867027,57.0,-23.119653506454295,16.779153022005023
5,0.0,all_holdout,3,3,-0.0002601349413114222,-0.0016380715562360388,57.0,-22.7660449561857,-22.766044956183276
5,0.0,clean_sku_days,3,3,-0.00022621549785765507,-0.0021169985956227175,57.0,-19.059905235151138,-19.28114294257345
5,0.0,eligible_pairs_clean_sku_days,3,1,0.0002666038299639813,0.0043311364373012085,57.0,-23.084159326630772,53.41327688652503
5,2.0,adjusted_pairs_clean_sku_days,3,1,-1.5248414840055938e-05,0.0036075869839867027,11.666666666666666,-2.9315554546349936,2.2536558086097407
5,2.0,all_holdout,3,2,-3.774510191290048e-05,-0.0016380715562360388,11.666666666666666,-3.271425065720299,-3.271425065710597
5,2.0,clean_sku_days,3,2,-3.80367001938664e-05,-0.0021169985956227175,11.666666666666666,-2.556658047644305,-3.8292641117974804
5,2.0,eligible_pairs_clean_sku_days,3,1,0.0008560706990350572,0.005099317414863154,11.666666666666666,-2.0273062827772796,9.650761291622606
5,5.0,adjusted_pairs_clean_sku_days,3,2,-0.00021903071581515685,0.0036075869839867027,3.3333333333333335,-1.934213806534899,-9.357391244503257
5,5.0,all_holdout,3,2,-2.9470509744074686e-05,-0.0016380715562360388,3.3333333333333335,-2.5585491563251708,-2.5585491563251708
5,5.0,clean_sku_days,3,2,-3.456654523270597e-05,-0.0021169985956227175,3.3333333333333335,-2.592368374656265,-3.222739658614349
5,5.0,eligible_pairs_clean_sku_days,3,1,-0.0012470050740053806,0.0048045385170226345,3.3333333333333335,-1.5836182608478424,3.539954917280459
5,10.0,adjusted_pairs_clean_sku_days,3,1,-0.00017319778801339059,0.0036075869839867027,1.6666666666666667,-0.5458960076181635,-8.628841673128287
5,10.0,all_holdout,3,1,-1.0670037983643669e-05,-0.0016380715562360388,1.6666666666666667,-0.9240163037587384,-0.9240163037514625
5,10.0,clean_sku_days,3,1,-1.8005876543510563e-05,-0.0021169985956227175,1.6666666666666667,-0.9073042741171472,-2.1088937878012075
5,10.0,eligible_pairs_clean_sku_days,3,0,0.002004445908921876,0.012305833251217091,1.6666666666666667,-0.2826459576558615,3.4173143344372554
7,0.0,adjusted_pairs_clean_sku_days,3,2,-0.00016208708081888457,0.0036075869839867027,57.0,-23.119653506454295,16.779153022005023
7,0.0,all_holdout,3,3,-0.0002601349413114222,-0.0016380715562360388,57.0,-22.7660449561857,-22.766044956183276
7,0.0,clean_sku_days,3,3,-0.00022621549785765507,-0.0021169985956227175,57.0,-19.059905235151138,-19.28114294257345
7,0.0,eligible_pairs_clean_sku_days,3,1,0.0002666038299639813,0.0043311364373012085,57.0,-23.084159326630772,53.41327688652503
7,2.0,adjusted_pairs_clean_sku_days,3,1,-1.5248414840055938e-05,0.0036075869839867027,11.666666666666666,-2.9315554546349936,2.2536558086097407
7,2.0,all_holdout,3,2,-3.774510191290048e-05,-0.0016380715562360388,11.666666666666666,-3.271425065720299,-3.271425065710597
7,2.0,clean_sku_days,3,2,-3.80367001938664e-05,-0.0021169985956227175,11.666666666666666,-2.556658047644305,-3.8292641117974804
7,2.0,eligible_pairs_clean_sku_days,3,1,0.0008560706990350572,0.005099317414863154,11.666666666666666,-2.0273062827772796,9.650761291622606
7,5.0,adjusted_pairs_clean_sku_days,3,2,-0.00021903071581515685,0.0036075869839867027,3.3333333333333335,-1.934213806534899,-9.357391244503257
7,5.0,all_holdout,3,2,-2.9470509744074686e-05,-0.0016380715562360388,3.3333333333333335,-2.5585491563251708,-2.5585491563251708
7,5.0,clean_sku_days,3,2,-3.456654523270597e-05,-0.0021169985956227175,3.3333333333333335,-2.592368374656265,-3.222739658614349
7,5.0,eligible_pairs_clean_sku_days,3,1,-0.0012470050740053806,0.0048045385170226345,3.3333333333333335,-1.5836182608478424,3.539954917280459
7,10.0,adjusted_pairs_clean_sku_days,3,1,-0.00017319778801339059,0.0036075869839867027,1.6666666666666667,-0.5458960076181635,-8.628841673128287
7,10.0,all_holdout,3,1,-1.0670037983643669e-05,-0.0016380715562360388,1.6666666666666667,-0.9240163037587384,-0.9240163037514625
7,10.0,clean_sku_days,3,1,-1.8005876543510563e-05,-0.0021169985956227175,1.6666666666666667,-0.9073042741171472,-2.1088937878012075
7,10.0,eligible_pairs_clean_sku_days,3,0,0.002004445908921876,0.012305833251217091,1.6666666666666667,-0.2826459576558615,3.4173143344372554
